record_id,employee_id,employee_name,legal_entity,country,cost_center,payroll_period,posting_date,concept_code,concept_name,amount,currency
PAY000021,EMP0007,Alicia Garrido,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,315.00,EUR
PAY000022,EMP0008,Alicia Herrera,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,2292.50,EUR
PAY000023,EMP0008,Alicia Herrera,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,655.00,EUR
PAY000024,EMP0008,Alicia Herrera,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,327.50,EUR
PAY000025,EMP0009,Alicia Iglesias,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,2380.00,EUR
PAY000026,EMP0009,Alicia Iglesias,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,680.00,EUR
PAY000027,EMP0009,Alicia Iglesias,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,340.00,EUR
PAY000028,EMP0010,Alicia Jimenez,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,2467.50,EUR
PAY000029,EMP0010,Alicia Jimenez,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,705.00,EUR
PAY000030,EMP0010,Alicia Jimenez,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,352.50,EUR
PAY000031,EMP0011,Alicia Lorenzo,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,2555.00,EUR
PAY000032,EMP0011,Alicia Lorenzo,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,730.00,EUR
PAY000033,EMP0011,Alicia Lorenzo,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,365.00,EUR
PAY000034,EMP0012,Alicia Martinez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,2642.50,EUR
PAY000035,EMP0012,Alicia Martinez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,755.00,EUR
PAY000036,EMP0012,Alicia Martinez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,377.50,EUR
PAY000037,EMP0013,Alicia Navarro,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,2205.00,EUR
PAY000038,EMP0013,Alicia Navarro,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,630.00,EUR
PAY000039,EMP0013,Alicia Navarro,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,315.00,EUR
PAY000040,EMP0014,Alicia Ortega,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,2292.50,EUR
PAY000041,EMP0014,Alicia Ortega,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,655.00,EUR
PAY000042,EMP0014,Alicia Ortega,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,327.50,EUR
PAY000043,EMP0015,Alicia Prieto,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,2380.00,EUR
PAY000044,EMP0015,Alicia Prieto,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,680.00,EUR
PAY000045,EMP0015,Alicia Prieto,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,340.00,EUR
PAY000046,EMP0016,Alicia Quintero,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,2467.50,EUR
PAY000047,EMP0016,Alicia Quintero,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,705.00,EUR
PAY000048,EMP0016,Alicia Quintero,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,352.50,EUR
PAY000049,EMP0017,Alicia Romero,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,2555.00,EUR
PAY000050,EMP0017,Alicia Romero,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,730.00,EUR
PAY000051,EMP0017,Alicia Romero,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,365.00,EUR
PAY000052,EMP0018,Alicia Suarez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,2642.50,EUR
PAY000053,EMP0018,Alicia Suarez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,755.00,EUR
PAY000054,EMP0018,Alicia Suarez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,377.50,EUR
PAY000055,EMP0019,Bruno Alonso,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,2205.00,EUR
PAY000056,EMP0019,Bruno Alonso,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,630.00,EUR
PAY000057,EMP0019,Bruno Alonso,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,315.00,EUR
PAY000058,EMP0020,Bruno Benitez,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,2292.50,EUR
PAY000059,EMP0020,Bruno Benitez,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,655.00,EUR
PAY000060,EMP0020,Bruno Benitez,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,327.50,EUR
PAY000061,EMP0021,Bruno Cabrera,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,2380.00,EUR
PAY000062,EMP0021,Bruno Cabrera,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,680.00,EUR
PAY000063,EMP0021,Bruno Cabrera,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,340.00,EUR
PAY000064,EMP0022,Bruno Dominguez,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,2467.50,EUR
PAY000065,EMP0022,Bruno Dominguez,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,705.00,EUR
PAY000066,EMP0022,Bruno Dominguez,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,352.50,EUR
PAY000067,EMP0023,Bruno Estevez,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,2555.00,EUR
PAY000068,EMP0023,Bruno Estevez,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,730.00,EUR
PAY000069,EMP0023,Bruno Estevez,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,365.00,EUR
PAY000070,EMP0024,Bruno Fernandez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,2642.50,EUR
PAY000071,EMP0024,Bruno Fernandez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,755.00,EUR
PAY000072,EMP0024,Bruno Fernandez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,377.50,EUR
PAY000073,EMP0025,Bruno Garrido,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,2205.00,EUR
PAY000074,EMP0025,Bruno Garrido,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,630.00,EUR
PAY000075,EMP0025,Bruno Garrido,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,315.00,EUR
PAY000076,EMP0026,Bruno Herrera,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,2292.50,EUR
PAY000077,EMP0026,Bruno Herrera,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,655.00,EUR
PAY000078,EMP0026,Bruno Herrera,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,327.50,EUR
PAY000079,EMP0027,Bruno Iglesias,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,2380.00,EUR
PAY000080,EMP0027,Bruno Iglesias,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,680.00,EUR
PAY000081,EMP0027,Bruno Iglesias,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,340.00,EUR
PAY000082,EMP0028,Bruno Jimenez,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,2467.50,EUR
PAY000083,EMP0028,Bruno Jimenez,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,705.00,EUR
PAY000084,EMP0028,Bruno Jimenez,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,352.50,EUR
PAY000085,EMP0029,Bruno Lorenzo,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,2555.00,EUR
PAY000086,EMP0029,Bruno Lorenzo,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,730.00,EUR
PAY000087,EMP0029,Bruno Lorenzo,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,365.00,EUR
PAY000088,EMP0030,Bruno Martinez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,2642.50,EUR
PAY000089,EMP0030,Bruno Martinez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,755.00,EUR
PAY000090,EMP0030,Bruno Martinez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,377.50,EUR
PAY000091,EMP0031,Bruno Navarro,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,2205.00,EUR
PAY000092,EMP0031,Bruno Navarro,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,630.00,EUR
PAY000093,EMP0031,Bruno Navarro,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,315.00,EUR
PAY000094,EMP0032,Bruno Ortega,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,2292.50,EUR
PAY000095,EMP0032,Bruno Ortega,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,655.00,EUR
PAY000096,EMP0032,Bruno Ortega,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,327.50,EUR
PAY000097,EMP0033,Bruno Prieto,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,2380.00,EUR
PAY000098,EMP0033,Bruno Prieto,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,680.00,EUR
PAY000099,EMP0033,Bruno Prieto,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,340.00,EUR
PAY000100,EMP0034,Bruno Quintero,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,2467.50,EUR
PAY000101,EMP0034,Bruno Quintero,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,705.00,EUR
PAY000102,EMP0034,Bruno Quintero,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,352.50,EUR
PAY000103,EMP0035,Bruno Romero,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,2555.00,EUR
PAY000104,EMP0035,Bruno Romero,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,730.00,EUR
PAY000105,EMP0035,Bruno Romero,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,365.00,EUR
PAY000106,EMP0036,Bruno Suarez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,2642.50,EUR
PAY000107,EMP0036,Bruno Suarez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,755.00,EUR
PAY000108,EMP0036,Bruno Suarez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,377.50,EUR
PAY000109,EMP0037,Carla Alonso,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,2205.00,EUR
PAY000110,EMP0037,Carla Alonso,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,630.00,EUR
PAY000111,EMP0037,Carla Alonso,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,315.00,EUR
PAY000112,EMP0038,Carla Benitez,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,2292.50,EUR
PAY000113,EMP0038,Carla Benitez,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,655.00,EUR
PAY000114,EMP0038,Carla Benitez,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,327.50,EUR
PAY000115,EMP0039,Carla Cabrera,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,2380.00,EUR
PAY000116,EMP0039,Carla Cabrera,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,680.00,EUR
PAY000117,EMP0039,Carla Cabrera,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,340.00,EUR
PAY000118,EMP0040,Carla Dominguez,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,2467.50,EUR
PAY000119,EMP0040,Carla Dominguez,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,705.00,EUR
PAY000120,EMP0040,Carla Dominguez,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,352.50,EUR
PAY000121,EMP0041,Carla Estevez,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,2555.00,EUR
PAY000122,EMP0041,Carla Estevez,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,730.00,EUR
PAY000123,EMP0041,Carla Estevez,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,365.00,EUR
PAY000124,EMP0042,Carla Fernandez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,2642.50,EUR
PAY000125,EMP0042,Carla Fernandez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,755.00,EUR
PAY000126,EMP0042,Carla Fernandez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,377.50,EUR
PAY000127,EMP0043,Carla Garrido,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,2205.00,EUR
PAY000128,EMP0043,Carla Garrido,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,630.00,EUR
PAY000129,EMP0043,Carla Garrido,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,315.00,EUR
PAY000130,EMP0044,Carla Herrera,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,2292.50,EUR
PAY000131,EMP0044,Carla Herrera,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,655.00,EUR
PAY000132,EMP0044,Carla Herrera,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,327.50,EUR
PAY000133,EMP0045,Carla Iglesias,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,2380.00,EUR
PAY000134,EMP0045,Carla Iglesias,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,680.00,EUR
PAY000135,EMP0045,Carla Iglesias,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,340.00,EUR
PAY000136,EMP0046,Carla Jimenez,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,2467.50,EUR
PAY000137,EMP0046,Carla Jimenez,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,705.00,EUR
PAY000138,EMP0046,Carla Jimenez,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,352.50,EUR
PAY000139,EMP0047,Carla Lorenzo,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,2555.00,EUR
PAY000140,EMP0047,Carla Lorenzo,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,730.00,EUR
PAY000141,EMP0047,Carla Lorenzo,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,365.00,EUR
PAY000142,EMP0048,Carla Martinez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,2642.50,EUR
PAY000143,EMP0048,Carla Martinez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,755.00,EUR
PAY000144,EMP0048,Carla Martinez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,377.50,EUR
PAY000145,EMP0049,Carla Navarro,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,2205.00,EUR
PAY000146,EMP0049,Carla Navarro,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,630.00,EUR
PAY000147,EMP0049,Carla Navarro,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,315.00,EUR
PAY000148,EMP0050,Carla Ortega,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,2292.50,EUR
PAY000149,EMP0050,Carla Ortega,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,655.00,EUR
PAY000150,EMP0050,Carla Ortega,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,327.50,EUR
PAY000151,EMP0051,Carla Prieto,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,2380.00,EUR
PAY000152,EMP0051,Carla Prieto,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,680.00,EUR
PAY000153,EMP0051,Carla Prieto,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,340.00,EUR
PAY000154,EMP0052,Carla Quintero,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,2467.50,EUR
PAY000155,EMP0052,Carla Quintero,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,705.00,EUR
PAY000156,EMP0052,Carla Quintero,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,352.50,EUR
PAY000157,EMP0053,Carla Romero,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,2555.00,EUR
PAY000158,EMP0053,Carla Romero,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,730.00,EUR
PAY000159,EMP0053,Carla Romero,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,365.00,EUR
PAY000160,EMP0054,Carla Suarez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,2642.50,EUR
PAY000161,EMP0054,Carla Suarez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,755.00,EUR
PAY000162,EMP0054,Carla Suarez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,377.50,EUR
PAY000163,EMP0055,Diego Alonso,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,2205.00,EUR
PAY000164,EMP0055,Diego Alonso,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,630.00,EUR
PAY000165,EMP0055,Diego Alonso,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,315.00,EUR
PAY000166,EMP0056,Diego Benitez,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,2292.50,EUR
PAY000167,EMP0056,Diego Benitez,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,655.00,EUR
PAY000168,EMP0056,Diego Benitez,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,327.50,EUR
PAY000169,EMP0057,Diego Cabrera,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,2380.00,EUR
PAY000170,EMP0057,Diego Cabrera,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,680.00,EUR
PAY000171,EMP0057,Diego Cabrera,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,340.00,EUR
PAY000172,EMP0058,Diego Dominguez,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,2467.50,EUR
PAY000173,EMP0058,Diego Dominguez,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,705.00,EUR
PAY000174,EMP0058,Diego Dominguez,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,352.50,EUR
PAY000175,EMP0059,Diego Estevez,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,2555.00,EUR
PAY000176,EMP0059,Diego Estevez,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,730.00,EUR
PAY000177,EMP0059,Diego Estevez,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,365.00,EUR
PAY000178,EMP0060,Diego Fernandez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,2642.50,EUR
PAY000179,EMP0060,Diego Fernandez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,755.00,EUR
